,,20~39세,20~39세,20~39세,65세 이상,65세 이상,65세 이상,인구수,인구수,인구수
구분,,남자,여자,합계,남자,여자,합계,남자,여자,합계
광역시도,시도,,,,,,,,,
전라남도,장흥군,2800,2283,5083,4883,7265,12150,16684,17584,34268
전라남도,진도군,3340,1743,5083,3965,5738,9703,14970,14043,29013
전라남도,함평군,2364,1748,4112,4469,6634,11103,14660,14709,29369
전라남도,해남군,5511,4218,9729,8686,12422,21108,31437,31805,63242
전라남도,화순군,5765,5047,10812,6603,10177,16781,29088,31048,60136
전라북도,고창군,4176,3197,7373,7349,10785,18135,25420,25760,51180
전라북도,군산시,35001,28328,63329,22494,28965,51459,136413,131222,267635
전라북도,김제시,7819,5699,13518,10433,15122,25559,38721,39277,77998
전라북도,남원시,6760,5799,12559,9199,13371,22573,37396,39155,76551
전라북도,덕진구,48320,44023,92343,20684,26770,47457,163858,164159,328017
전라북도,무주군,1647,1380,3027,3195,4516,7713,11011,11294,22305
전라북도,부안군,4150,3117,7267,6832,9647,16480,23752,24004,47756
전라북도,순창군,1844,1676,3520,3587,5440,9030,12333,13150,25483
전라북도,완산구,47153,44444,91597,24614,32510,57124,167393,175001,342394
전라북도,완주군,12236,9753,21989,9404,12413,21817,48851,46178,95029
전라북도,익산시,36717,31064,67781,24275,32472,56747,140166,139984,280150
전라북도,임실군,2123,1729,3852,3935,5381,9319,12575,12422,24997
전라북도,장수군,1557,1276,2833,3023,4179,7202,10071,10264,20335
전라북도,전주시,95473,88467,183940,45301,59280,104581,331251,339160,670411
전라북도,정읍시,10836,8534,19370,12173,17520,29696,51984,52479,104463
전라북도,진안군,1597,1431,3028,3604,4734,8339,11351,11409,22760
제주특별자치도,서귀포시,20816,17967,38783,15139,20096,35235,90865,88373,179238
제주특별자치도,제주시,67387,61431,128818,31033,41649,72682,247944,245925,493869
충청남도,계룡시,4566,3943,8509,2397,3057,5454,20614,20801,41415
충청남도,공주시,12119,11145,23264,12075,15798,27873,52782,54133,106915
충청남도,금산군,5393,4648,10041,6743,8967,15712,26146,26290,52436
충청남도,논산시,13266,11166,24432,13226,18028,31254,58442,58820,117262
충청남도,당진시,24044,16621,40665,14013,17649,31665,91060,78447,169507
충청남도,동남구,40100,35975,76075,17262,22128,39390,137117,133719,270836
충청남도,보령시,11547,7633,19180,11119,14620,25743,50364,47026,97390
충청남도,부여군,5460,4253,9713,9622,12859,22481,30882,31533,62415
충청남도,서북구,73557,64486,138043,16268,21049,37321,212623,200429,413052
충청남도,서산시,24082,17801,41883,14511,18659,33172,92741,84756,177497
충청남도,서천군,4448,2861,7309,7965,10900,18866,24936,25076,50012
충청남도,아산시,56730,45196,101926,18996,25268,44264,182939,165788,348727
충청남도,예산군,7880,5549,13429,10493,13622,24118,38853,37637,76490
충청남도,천안시,113657,100461,214118,33534,43177,76711,349740,334148,683888
충청남도,청양군,2822,2005,4827,4755,6094,10856,15322,14781,30103
충청남도,태안군,6400,3912,10312,8418,10693,19115,31042,29243,60285
충청남도,홍성군,11998,9991,21989,10254,13800,24057,50955,50663,101618
충청북도,괴산군,3958,2687,6645,5676,6996,12675,19435,18091,37526
충청북도,단양군,1994,1513,3507,3915,4958,8875,13584,13353,26937
충청북도,보은군,2493,1805,4298,4727,6353,11080,15543,15386,30929
충청북도,상당구,24427,21855,46282,13123,17167,30292,94232,95379,189611
충청북도,서원구,27976,24729,52705,13397,17797,31196,96900,98626,195526
충청북도,영동군,4332,3258,7590,6379,8515,14894,22784,22762,45546
충청북도,옥천군,4369,3441,7810,6457,8405,14862,24362,24145,48507
충청북도,음성군,15847,9412,25259,9052,11055,20107,55530,45336,100866
충청북도,제천시,16024,13674,29698,13329,16738,30071,67024,66726,133750
충청북도,증평군,5218,4095,9313,2886,3765,6651,18950,17702,36652
충청북도,진천군,14906,9992,24898,6158,8086,14248,49328,42451,91779
충청북도,청원구,33159,27169,60328,11075,14976,26055,101842,96461,198303
충청북도,청주시,131520,114005,245525,51348,67566,118914,431607,425316,856923
충청북도,충주시,30366,22794,53160,18542,24559,43105,109926,105423,215349
충청북도,흥덕구,45958,40252,86210,13743,17626,31371,138633,134850,273483
