구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,cctv,범죄,검거율
동대문구,0.20461095100864551,0.4705882352941176,0.24999999999999997,0.32938643702906356,0.3793350017876296,84.39306358381504,100.0,100.0,41.09035840484604,87.40188383045526,364962,0.5123821110142973,0.32678412502389126,82.57706116382326
동작구,0.5273775216138328,0.23529411764705882,0.24999999999999997,0.2877646214567635,0.15123346442617092,48.77192982456141,55.55555555555556,100.0,35.442359249329755,83.0890052356021,406715,0.3201258866774031,0.29033394502876525,64.57176997300976
마포구,0.5533141210374639,0.5294117647058822,0.5,0.5353426623609616,0.5348587772613513,84.01360544217688,71.42857142857143,100.0,31.81996086105675,84.44518940663761,385624,0.2541335601518578,0.5305854650731318,74.34146542768853
서대문구,0.1498559077809798,0.0,0.0,0.2687477574452817,0.20343224883804079,80.51948051948052,80.0,100.0,40.72847682119205,83.21984435797665,324871,0.385999365902158,0.12440718281286045,76.89356033972983
서초구,0.8386167146974062,0.23529411764705882,0.5,0.5640473627556513,0.32606363961387197,63.358778625954194,66.66666666666666,75.0,41.40417457305503,87.45310546060858,445164,0.5159896128168495,0.49280436694279767,66.7765450652569
성동구,0.06916426512968299,0.23529411764705882,0.16666666666666666,0.1951919626838895,0.0446907400786557,94.44444444444444,88.88888888888889,100.0,37.14996888612321,86.53846153846155,314551,0.4218711751035603,0.14220155044119073,81.40435275158362
성북구,0.13832853025936598,0.0,0.24999999999999997,0.2590599210620739,0.25813371469431534,82.66666666666667,80.0,100.0,41.51260504201681,83.97464916251698,453902,0.3637349031288692,0.18110443320315103,77.63078417424009
송파구,0.340057636887608,0.4705882352941176,0.75,0.780767850735558,0.6464068644976761,80.9090909090909,76.92307692307693,90.9090909090909,34.85643717196666,84.55235204855842,671994,0.1608645315285553,0.5975641174829919,73.63000959235676
양천구,0.051873198847262214,0.05882352941176466,0.08333333333333334,0.296734840330104,0.365391490883089,87.5,50.0,100.0,35.55555555555556,80.90872857712236,473087,0.5246392312619033,0.17123127856111064,70.79285682653558
영등포구,0.5561959654178674,1.0,0.9999999999999999,0.6820954431288124,0.7454415445119771,62.03389830508475,90.9090909090909,85.71428571428571,32.99595141700405,82.89473684210526,403988,0.3160984979751873,0.7967465906117314,70.90959263751414
용산구,0.2651296829971181,0.5294117647058822,0.24999999999999997,0.17725152493720842,0.2012870933142653,89.17525773195877,100.0,100.0,37.70070648683366,83.1219512195122,245411,0.8540774455912734,0.2846160131908948,81.99958308766092
은평구,0.18443804034582129,0.23529411764705882,0.08333333333333334,0.30534625044851094,0.4168752234537004,84.93975903614458,66.66666666666666,100.0,37.14733542319749,86.92046739540143,490253,0.4299820704819757,0.24505739304568497,75.13484570428203
종로구,0.31412103746397696,0.35294117647058826,0.33333333333333337,0.4022246142805884,0.2881658920271719,76.30331753554502,81.81818181818183,83.33333333333334,38.32417582417583,84.21282163105103,164348,0.985104777666902,0.33815721071513183,72.79836602845742
중구,0.19596541786743515,0.23529411764705882,0.08333333333333334,0.5328310010764262,0.26349660350375403,65.29411764705883,66.66666666666666,66.66666666666666,33.712715855573,88.3093525179856,135139,0.7569983498471944,0.2621840946856015,64.12990387079014
중랑구,0.24495677233429397,0.35294117647058826,0.9166666666666666,0.384642985288841,0.486235252055774,79.14438502673798,81.81818181818183,92.3076923076923,38.82903981264637,84.54513523006673,411552,0.2225721172537128,0.47708857056323273,75.32888683906506
